Name,X_Coordinate,Y_Coordinate,Population,Distance
City_1,82.28,28.8,830879,494.66
City_2,85.12,27.19,399708,172.55
City_3,84.22,28.92,568206,386.38
City_4,88.23,28.35,513214,227.41
City_5,88.61,27.77,855608,301.07
City_6,87.49,29.05,997934,354.11
City_7,86.15,27.99,817393,481.06
City_8,86.74,27.74,236946,71.77
City_9,82.36,27.55,526926,176.43
City_10,86.58,26.97,367236,329.36
City_11,82.21,27.55,264688,215.64
City_12,80.17,28.54,71931,465.13
City_13,80.18,27.38,481653,109.44
City_14,83.45,27.8,664924,119.83
City_15,80.48,29.45,685538,64.69
City_16,85.25,28.95,227354,280.08
City_17,86.07,26.15,198759,421.81
City_18,85.79,26.67,338825,230.18
City_19,87.79,29.51,804171,265.64
City_20,83.69,27.25,704044,429.2
City_21,83.38,27.95,433560,149.14
City_22,85.91,28.87,139604,346.44
City_23,88.21,27.05,608384,310.57
City_24,84.27,28.16,903067,64.4
City_25,82.3,28.63,945512,432.04
City_26,80.06,26.65,198962,98.32
City_27,86.96,28.09,112249,68.15
City_28,87.64,26.31,856647,446.96
City_29,83.47,27.22,277040,87.09
City_30,85.69,29.01,10698,160.02
City_31,86.81,28.4,205334,380.86
City_32,88.51,29.57,236338,161.57
City_33,80.9,27.59,369294,217.37
City_34,80.25,29.68,973323,25.64
City_35,82.95,28.22,816534,380.04
City_36,86.32,29.23,657319,112.73
City_37,84.8,27.35,408745,295.15
City_38,83.01,26.42,204913,134.43
City_39,80.6,29.64,218226,22.5
City_40,83.32,29.96,983446,23.49
City_41,85.49,27.3,50601,48.73
City_42,83.81,28.79,689902,453.08
City_43,85.46,27.6,90762,91.69
City_44,88.95,26.18,419978,219.77
City_45,87.4,27.32,501177,161.6
City_46,82.23,27.4,216083,177.3
City_47,84.11,29.5,914068,357.6
City_48,86.91,27.82,898800,156.05
City_49,81.62,27.48,358294,45.59
City_50,88.93,29.4,515999,370.06
City_51,81.19,28.81,510310,428.96
City_52,88.69,29.02,247095,39.65
City_53,87.0,28.89,259641,391.91
City_54,88.66,29.95,39735,58.35
City_55,86.36,26.08,193254,82.75
City_56,81.33,28.53,446468,333.79
City_57,83.98,29.31,617558,84.75
City_58,82.69,26.3,775929,23.26
City_59,83.91,28.82,29252,283.59
City_60,81.82,27.78,183904,72.92
City_61,83.85,29.4,515239,345.7
City_62,85.72,26.33,26915,355.02
City_63,87.18,29.63,548159,11.33
City_64,80.51,26.76,540983,142.79
City_65,86.73,28.15,97745,331.73
City_66,81.83,26.56,695676,193.65
City_67,88.63,29.32,207768,265.21
City_68,84.16,26.56,541258,261.71
City_69,86.58,28.34,808713,85.49
City_70,87.85,29.27,501706,333.25
City_71,81.8,29.3,248827,251.57
City_72,83.16,28.08,700115,334.92
City_73,83.42,27.96,331657,262.42
City_74,82.98,28.21,538988,41.41
City_75,88.42,28.64,909531,380.77
City_76,80.45,29.66,599197,176.44
City_77,81.29,26.83,110863,120.48
City_78,80.82,27.02,429271,21.2
City_79,81.84,29.98,437739,391.45
City_80,80.61,29.43,229598,414.95
City_81,81.18,28.19,156401,152.75
City_82,83.78,27.79,896476,10.72
City_83,87.27,28.25,484117,254.93
City_84,85.29,26.08,638394,320.95
City_85,83.76,27.94,813602,287.65
City_86,87.33,28.14,713470,427.21
City_87,82.76,28.46,302512,395.62
City_88,84.63,27.4,439589,105.09
City_89,82.72,26.01,812602,421.32
City_90,87.94,28.68,83636,313.91
City_91,81.86,26.5,321585,244.32
City_92,87.4,28.11,175271,347.41
City_93,83.74,29.93,589923,307.72
City_94,85.92,28.07,805669,13.07
City_95,85.93,28.48,53574,193.6
City_96,81.33,29.09,196326,371.52
City_97,85.71,28.25,778086,480.57
City_98,88.21,26.58,97393,274.75
City_99,84.55,29.95,810259,95.78
City_100,87.86,27.72,198974,396.36
City_101,82.97,28.67,475193,155.15
City_102,88.3,29.16,514649,445.38
City_103,84.26,29.11,99414,199.91
City_104,83.31,26.1,873103,326.63
City_105,86.68,28.03,857997,325.58
City_106,87.98,28.57,106534,125.12
City_107,85.58,28.63,236632,165.48
City_108,80.42,27.76,668657,402.14
City_109,82.38,29.05,421329,10.15
City_110,80.18,26.61,287088,178.67
City_111,81.86,29.86,193962,234.44
City_112,83.27,26.27,354174,88.29
City_113,84.82,28.41,133400,190.76
City_114,86.1,27.87,923264,170.97
City_115,81.86,28.65,97905,271.45
City_116,87.46,26.69,305931,316.55
City_117,84.37,27.23,699887,170.78
City_118,87.64,29.76,39369,88.19
City_119,85.57,26.16,185430,263.31
City_120,85.11,28.39,957603,53.11
City_121,83.65,27.88,81510,154.31
City_122,80.28,27.37,960366,266.82
City_123,83.12,28.41,946549,248.93
City_124,80.72,28.24,836822,94.0
City_125,84.95,26.81,142784,463.9
City_126,80.15,28.11,703193,295.33
City_127,84.91,29.95,227243,460.94
City_128,85.77,26.86,539878,34.72
City_129,81.58,27.11,232116,277.34
City_130,84.51,29.17,982811,346.03
City_131,82.7,26.97,312649,146.73
City_132,82.65,27.66,311142,295.26
City_133,82.6,27.48,409329,330.14
City_134,81.62,26.44,250165,362.53
City_135,80.11,29.63,205825,385.43
City_136,80.73,29.41,652329,491.59
City_137,82.72,26.21,503260,221.11
City_138,85.8,28.06,986637,18.48
City_139,87.22,27.15,409790,405.28
City_140,81.3,29.42,897873,446.23
City_141,83.88,29.18,955550,100.04
City_142,84.24,28.73,393627,265.96
City_143,80.06,26.57,716266,402.6
City_144,86.99,27.29,530550,240.85
City_145,83.78,27.01,347726,459.19
City_146,87.85,29.9,28347,101.15
City_147,80.1,29.88,333510,94.08
City_148,86.06,26.08,897101,301.65
City_149,85.07,26.14,531396,271.61
City_150,84.55,28.87,546623,185.64
City_151,88.31,29.64,707726,499.74
City_152,85.52,26.53,948256,76.14
City_153,83.14,26.79,58239,281.48
City_154,88.34,28.78,251322,113.06
City_155,82.96,27.37,680073,425.49
City_156,85.4,27.31,463424,260.14
City_157,88.35,29.44,395642,77.4
City_158,88.96,27.34,828141,35.02
City_159,80.58,29.34,57938,103.93
City_160,88.54,29.19,777167,315.36
City_161,88.81,26.68,77028,280.74
City_162,86.62,28.37,991774,394.06
